task,treatment,comparator,metric,n,seeds,delta,delta_se,positive_n,negative_n,per_seed_deltas
square,fixalpha_03,baseline,auc_early,5,"1,2,3,4,5",0.013137444104495166,0.01850442850056137,4,1,"{""1"": -0.052136973405507214, ""2"": 0.028691456813367933, ""3"": 0.058120734290421305, ""4"": 0.003038361967521719, ""5"": 0.02797364085667209}"
square,fixalpha_03,baseline,endpoint,5,"1,2,3,4,5",-0.04299999999999998,0.10376174632300673,3,2,"{""1"": -0.265, ""2"": -0.31, ""3"": 0.1650000000000001, ""4"": 0.175, ""5"": 0.019999999999999962}"
square,fixalpha_03,baseline,at10k,5,"1,2,3,4,5",0.12399999999999997,0.049859803449271635,4,1,"{""1"": 0.1999999999999999, ""2"": 0.27, ""3"": 0.09999999999999998, ""4"": 0.06, ""5"": -0.010000000000000009}"
square,fixalpha_03,baseline,mean_deficit_pi_dp,5,"1,2,3,4,5",-0.01560456456010496,0.01589573310267839,1,4,"{""1"": 0.04216049253692021, ""2"": -0.040979881449176934, ""3"": -0.04576292832649717, ""4"": -0.007754717010216294, ""5"": -0.02568578855155461}"
square,iql,baseline,auc_early,3,"1,2,3",0.03222758296069661,0.015766196645742643,3,0,"{""1"": 0.03723699694045657, ""2"": 0.00276182631207339, ""3"": 0.05668392562955987}"
square,iql,baseline,endpoint,3,"1,2,3",0.09000000000000007,0.0754983443527075,2,1,"{""1"": 0.18000000000000005, ""2"": -0.05999999999999994, ""3"": 0.15000000000000008}"
square,iql,baseline,at10k,3,"1,2,3",0.2933333333333334,0.01452966314513559,3,0,"{""1"": 0.26999999999999996, ""2"": 0.29000000000000004, ""3"": 0.32}"
square,iql,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.04047454795944588,0.011573955684502276,0,3,"{""1"": -0.0420682367142531, ""2"": -0.019678591909893725, ""3"": -0.05967681525419082}"
square,mix_prefill,baseline,auc_early,3,"1,2,3",0.02805405193378833,0.034872758869076474,2,1,"{""1"": 0.014309249235114063, ""2"": -0.02429042127559422, ""3"": 0.09414332784184515}"
square,mix_prefill,baseline,endpoint,3,"1,2,3",0.15,0.08499999999999995,2,1,"{""1"": 0.235, ""2"": -0.019999999999999907, ""3"": 0.23499999999999993}"
square,mix_prefill,baseline,at10k,3,"1,2,3",-0.18000000000000002,0.02309401076758503,0,3,"{""1"": -0.14, ""2"": -0.22, ""3"": -0.18}"
square,mix_prefill,baseline,mean_deficit_pi_dp,3,"1,2,3",0.005092373349418759,0.016795221303920478,1,2,"{""1"": -0.0017771656334160668, ""2"": 0.0370024909785759, ""3"": -0.019948205296903554}"
square,td,baseline,auc_early,3,"1,2,3",0.08816976543500434,0.02932495658634341,3,0,"{""1"": 0.1175500117674747, ""2"": 0.029519887032242897, ""3"": 0.11743939750529542}"
square,td,baseline,endpoint,3,"1,2,3",-0.05000000000000001,0.14294521094927715,2,1,"{""1"": 0.14, ""2"": -0.33, ""3"": 0.03999999999999998}"
square,td,baseline,at10k,3,"1,2,3",0.24666666666666667,0.05364492313143696,3,0,"{""1"": 0.16999999999999998, ""2"": 0.21999999999999992, ""3"": 0.35000000000000003}"
square,td,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.07070036625563034,0.020237950913088235,0,3,"{""1"": -0.09183182315656038, ""2"": -0.030237813251129335, ""3"": -0.09003146235920129}"
square,tent12_hq,baseline,auc_early,3,"1,2,3",-0.026360320075311843,0.02169487664601001,1,2,"{""1"": -0.04946693339609326, ""2"": -0.046612144033890246, ""3"": 0.01699811720404798}"
square,tent12_hq,baseline,endpoint,3,"1,2,3",0.01833333333333335,0.06672913739722534,2,1,"{""1"": 0.09000000000000002, ""2"": -0.11499999999999999, ""3"": 0.08000000000000002}"
square,tent12_hq,baseline,at10k,3,"1,2,3",0.11999999999999995,0.0513160143944688,3,0,"{""1"": 0.21999999999999986, ""2"": 0.09000000000000002, ""3"": 0.04999999999999999}"
square,tent12_hq,baseline,mean_deficit_pi_dp,3,"1,2,3",0.017340146240166537,0.017011967634543494,2,1,"{""1"": 0.03947886431396706, ""2"": 0.028645527423721326, ""3"": -0.016103953017188782}"
square,tent12,baseline,auc_early,5,"1,2,3,4,5",0.003453989173923233,0.023955949485764738,2,3,"{""1"": 0.07837844198634975, ""2"": -0.04795598964462228, ""3"": 0.03992468816192041, ""4"": -0.03331607437044026, ""5"": -0.019761120263591447}"
square,tent12,baseline,endpoint,5,"1,2,3,4,5",-0.03800000000000002,0.03689850945499017,1,4,"{""1"": -0.010000000000000009, ""2"": -0.16999999999999998, ""3"": -0.044999999999999984, ""4"": -0.020000000000000018, ""5"": 0.05499999999999988}"
square,tent12,baseline,at10k,5,"1,2,3,4,5",0.16999999999999998,0.03286335345030996,5,0,"{""1"": 0.2, ""2"": 0.10999999999999999, ""3"": 0.27999999999999997, ""4"": 0.15999999999999992, ""5"": 0.10000000000000003}"
square,tent12,baseline,mean_deficit_pi_dp,5,"1,2,3,4,5",-0.003850452889385625,0.01959140765663204,3,2,"{""1"": -0.06018151962670842, ""2"": 0.03112212678225587, ""3"": -0.042355562498283386, ""4"": 0.02777340060528191, ""5"": 0.02438929029052589}"
square,tent6,baseline,auc_early,3,"1,2,3",-0.026404251980858218,0.016299357929957944,0,3,"{""1"": -0.005378912685337689, ""2"": -0.05849140974346906, ""3"": -0.015342433513767906}"
square,tent6,baseline,endpoint,3,"1,2,3",-0.18000000000000002,0.13363507523600732,1,2,"{""1"": 0.03500000000000003, ""2"": -0.425, ""3"": -0.15000000000000002}"
square,tent6,baseline,at10k,3,"1,2,3",0.06666666666666665,0.028480012484391762,3,0,"{""1"": 0.08999999999999997, ""2"": 0.010000000000000009, ""3"": 0.09999999999999998}"
square,tent6,baseline,mean_deficit_pi_dp,3,"1,2,3",0.019746689908906326,0.012374058636093282,3,0,"{""1"": 0.0038551848366846775, ""2"": 0.044122507304691, ""3"": 0.011262377585343306}"
can,calql,iql,auc_early,3,"1,2,3",-0.07643538990664701,0.016673760269769012,0,3,"{""1"": -0.10957991156032848, ""2"": -0.06304485154769429, ""3"": -0.056681406611918284}"
can,calql,iql,endpoint,3,"1,2,3",-0.04500000000000006,0.08962886439832506,1,2,"{""1"": -0.05500000000000005, ""2"": 0.11499999999999999, ""3"": -0.19500000000000012}"
